trial,exit cycle,Q,E,generation,FR_mutations,CDR_mutations
0,177,1.000000,0.000000,0,0,0
0,177,1.000000,0.000000,5,0,1
0,177,1.000000,1.833066,42,0,2
0,177,1.000000,3.093236,79,0,3
0,177,1.000000,3.626713,99,0,4
0,177,1.000000,4.984069,105,0,5
0,177,1.000000,5.981920,140,0,6
0,177,1.000000,6.607084,199,0,7
0,177,1.000000,7.808041,232,0,8
0,177,1.000000,9.435306,273,0,9
0,177,1.000000,9.820885,286,0,10
0,177,1.000000,11.514674,308,0,11
0,177,1.000000,12.423972,334,0,12
4,177,1.000000,0.000000,0,0,0
4,177,1.000000,0.000000,4,0,1
4,177,1.000000,1.616220,47,0,2
4,177,1.000000,2.475100,73,0,3
4,177,1.000000,4.094629,110,0,4
4,177,1.000000,5.490522,139,0,5
4,177,1.000000,5.944623,174,0,6
4,177,1.000000,7.140430,186,0,7
4,177,1.000000,7.648540,221,0,8
4,177,1.000000,8.571159,244,0,9
4,177,1.000000,9.819603,267,0,10
4,177,1.000000,10.074158,288,0,11
4,177,1.000000,11.044490,334,0,12
10,151,1.000000,0.000000,0,0,0
10,151,1.000000,0.000000,9,0,1
10,151,1.000000,0.040180,16,0,2
10,151,1.000000,1.422683,27,0,3
10,151,1.000000,2.841819,68,0,4
10,151,1.000000,4.378754,92,0,5
10,151,1.000000,5.493002,135,0,6
10,151,1.000000,7.292623,161,0,7
10,151,1.000000,8.309471,184,0,8
10,151,1.000000,9.259057,215,0,9
10,151,1.000000,9.849997,245,0,10
10,151,1.000000,10.234899,263,0,11
11,160,1.000000,0.000000,0,0,0
11,160,1.000000,0.000000,2,0,1
11,160,1.000000,0.994051,26,0,2
11,160,1.000000,3.107553,63,0,3
11,160,1.000000,3.984563,77,0,4
11,160,1.000000,4.663938,90,0,5
11,160,1.000000,5.756602,112,0,6
11,160,1.000000,7.470317,144,0,7
11,160,1.000000,7.972065,178,0,8
11,160,1.000000,8.761253,214,0,9
11,160,1.000000,10.802837,229,0,10
11,160,1.000000,11.801331,258,0,11
11,160,1.000000,12.752543,288,0,12
12,177,1.000000,0.000000,0,0,0
12,177,1.000000,0.000000,9,0,1
12,177,1.000000,1.705531,47,0,2
12,177,1.000000,2.729786,67,0,3
12,177,1.000000,2.961766,80,0,4
12,177,1.000000,4.180138,105,0,5
12,177,1.000000,4.754974,138,0,6
12,177,1.000000,6.079698,159,0,7
12,177,1.000000,6.608544,192,0,8
12,177,1.000000,6.790081,214,0,9
12,177,1.000000,8.109708,231,0,10
12,177,1.000000,8.911738,261,0,11
12,177,1.000000,9.470920,284,0,12
12,177,1.000000,9.975661,328,0,13
14,161,1.000000,0.000000,0,0,0
14,161,1.000000,0.000000,1,0,1
14,161,1.000000,0.950664,24,0,2
14,161,1.000000,2.318657,56,0,3
14,161,1.000000,3.236228,62,0,4
14,161,1.000000,4.365306,94,0,5
14,161,1.000000,5.535626,119,0,6
14,161,1.000000,5.733841,125,0,7
14,161,1.000000,6.994791,159,0,8
14,161,1.000000,7.646113,183,0,9
14,161,1.000000,8.274068,201,0,10
14,161,1.000000,8.702895,210,0,11
14,161,1.000000,9.787472,233,0,12
14,161,1.000000,10.383389,272,0,13
14,161,1.000000,11.347622,284,0,14
15,156,1.000000,0.000000,0,0,0
15,156,1.000000,0.000000,13,0,1
15,156,1.000000,1.404734,28,0,2
15,156,1.000000,2.052038,40,0,3
15,156,1.000000,2.793740,62,0,4
15,156,1.000000,3.724735,98,0,5
15,156,1.000000,4.400717,125,0,6
15,156,1.000000,5.793109,148,0,7
15,156,1.000000,6.441655,151,0,8
15,156,1.000000,6.500912,179,0,9
15,156,1.000000,7.969380,215,0,10
15,156,1.000000,8.127794,238,0,11
15,156,1.000000,9.543600,263,0,12
15,156,1.000000,10.805508,283,0,13
17,177,1.000000,0.000000,0,0,0
17,177,1.000000,0.000000,4,0,1
17,177,1.000000,1.307892,31,0,2
17,177,1.000000,2.701272,68,0,3
17,177,1.000000,4.542204,96,0,4
17,177,1.000000,5.610326,118,0,5
17,177,1.000000,6.302168,138,0,6
17,177,1.000000,7.586762,153,0,7
17,177,1.000000,8.113759,210,0,8
17,177,1.000000,8.880026,225,0,9
17,177,1.000000,8.972245,263,0,10
17,177,1.000000,10.163595,296,0,11
17,177,1.000000,10.658679,312,0,12
18,158,1.000000,0.000000,0,0,0
18,158,1.000000,0.000000,17,0,1
18,158,1.000000,2.139742,66,0,2
18,158,1.000000,3.818115,101,0,3
18,158,1.000000,4.969627,121,0,4
18,158,1.000000,5.970869,142,0,5
18,158,1.000000,6.505088,170,0,6
