trial,exit cycle,number,generation,FR_mutations,CDR_mutations,Q,E
0,180,131,356,0,12,1.000000,13.868655
4,180,151,356,0,12,1.000000,11.876269
10,154,211,304,0,11,1.000000,11.738821
10,154,120,304,0,10,1.000000,12.056093
10,154,559,304,0,11,1.000000,11.738821
10,154,150,304,0,11,1.000000,12.161308
10,154,135,304,0,10,1.000000,11.974416
10,154,284,304,0,10,1.000000,12.056093
10,154,157,304,0,10,1.000000,11.873991
11,163,427,322,0,12,1.000000,13.758697
11,163,172,322,0,12,1.000000,14.070636
11,163,1012,322,0,12,1.000000,13.758697
12,180,110,356,0,13,1.000000,10.425003
12,180,117,356,0,13,1.000000,11.138784
14,164,602,324,0,14,1.000000,13.343408
14,164,1422,324,0,14,1.000000,13.343408
15,159,226,314,0,13,1.000000,11.607601
15,159,608,314,0,13,1.000000,11.607601
15,159,103,314,0,13,1.000000,11.574166
15,159,188,314,0,13,1.000000,11.542502
15,159,205,314,0,12,1.000000,11.654485
17,180,200,356,0,12,1.000000,11.652178
17,180,175,356,0,13,1.000000,12.990165
17,180,486,356,0,12,1.000000,11.652178
18,161,182,318,0,11,1.000000,12.921456
18,161,394,318,0,11,1.000000,12.874589
18,161,480,318,0,11,1.000000,12.921456
18,161,876,318,0,11,1.000000,12.874589
19,180,131,356,0,13,1.000000,12.720166
19,180,246,356,0,13,1.000000,12.600385
19,180,280,356,0,13,1.000000,12.720166
19,180,106,356,0,14,1.000000,12.990847
19,180,576,356,0,13,1.000000,12.600385
33,150,367,296,0,14,1.000000,12.255920
33,150,109,296,0,14,1.000000,12.362565
33,150,110,296,0,13,1.000000,12.523975
33,150,893,296,0,14,1.000000,12.255920
33,150,129,296,0,13,1.000000,12.563428
33,150,304,296,0,14,1.000000,12.362565
36,180,183,356,0,11,1.000000,12.636957
36,180,124,356,0,12,1.000000,12.709798
44,180,407,356,0,13,1.000000,12.058597
44,180,935,356,0,13,1.000000,12.058597
45,180,149,356,0,12,1.000000,12.697094
45,180,153,356,0,13,1.000000,14.437031
45,180,392,356,0,12,1.000000,12.697094
63,180,192,356,0,12,1.000000,12.049304
66,156,422,308,0,10,1.000000,12.313308
66,156,235,308,0,11,1.000000,13.169554
66,156,930,308,0,10,1.000000,12.313308
67,179,156,354,0,17,1.000000,11.841143
67,179,189,354,0,17,1.000000,12.396720
67,179,327,354,0,17,1.000000,11.841143
67,179,118,354,0,16,1.000000,11.748058
67,179,494,354,0,17,1.000000,12.396720
67,179,196,354,0,16,1.000000,11.922160
67,179,122,354,0,15,1.000000,11.730665
68,165,647,326,0,14,1.000000,14.483124
68,165,1526,326,0,14,1.000000,14.483124
75,180,130,356,0,12,1.000000,12.719725
75,180,297,356,0,12,1.000000,13.093779
75,180,358,356,0,12,1.000000,12.719725
75,180,149,356,0,13,1.000000,13.891690
75,180,656,356,0,12,1.000000,13.093779
75,180,192,356,0,13,1.000000,13.647444
79,152,239,300,0,12,1.000000,12.659349
79,152,140,300,0,13,1.000000,13.465908
79,152,165,300,0,13,1.000000,12.841152
79,152,585,300,0,12,1.000000,12.659349
79,152,318,300,0,13,1.000000,13.465908
84,180,127,356,0,13,1.000000,10.067338
