trial,cycle,number recycled,number exit
0,1,3,0
0,2,1536,0
0,3,1432,0
0,4,1294,0
0,5,1215,0
0,6,1113,0
0,7,1040,0
0,8,957,0
0,9,879,0
0,10,806,0
0,11,732,0
0,12,689,0
0,13,644,0
0,14,606,0
0,15,563,0
0,16,517,0
0,17,475,0
0,18,454,0
0,19,425,0
0,20,385,0
0,21,367,0
0,22,364,0
0,23,336,0
0,24,315,0
0,25,305,0
0,26,297,0
0,27,290,0
0,28,257,0
0,29,234,0
0,30,222,0
0,31,213,0
0,32,207,0
0,33,199,0
0,34,189,0
0,35,187,0
0,36,176,0
0,37,165,0
0,38,151,0
0,39,150,0
0,40,147,0
0,41,146,0
0,42,135,0
0,43,134,0
0,44,125,0
0,45,120,0
0,46,112,0
0,47,96,0
0,48,96,0
0,49,86,0
0,50,82,0
0,51,74,0
0,52,73,0
0,53,73,0
0,54,70,0
0,55,65,0
0,56,63,0
0,57,56,0
0,58,49,0
0,59,49,0
0,60,47,0
0,61,46,0
0,62,47,0
0,63,39,0
0,64,42,0
0,65,43,0
0,66,43,0
0,67,46,0
0,68,54,0
0,69,47,0
0,70,43,0
0,71,45,0
0,72,49,0
0,73,52,0
0,74,54,0
0,75,50,0
0,76,55,0
0,77,54,0
0,78,50,0
0,79,51,0
0,80,52,0
0,81,54,0
0,82,53,0
0,83,54,0
0,84,55,0
0,85,56,0
0,86,56,0
0,87,66,0
0,88,67,0
0,89,73,0
0,90,74,0
0,91,65,0
0,92,65,0
0,93,63,0
0,94,63,0
0,95,61,0
0,96,59,0
0,97,56,0
0,98,58,0
0,99,50,0
0,100,52,0
0,101,50,0
0,102,45,0
0,103,45,0
0,104,40,0
0,105,39,0
0,106,43,0
0,107,45,0
0,108,42,0
0,109,40,0
0,110,40,0
0,111,33,0
0,112,33,0
0,113,33,0
0,114,31,0
0,115,32,0
0,116,35,0
0,117,32,0
0,118,35,0
0,119,35,0
0,120,34,0
0,121,35,0
0,122,35,0
0,123,38,0
0,124,38,0
0,125,39,0
0,126,38,0
0,127,33,0
0,128,33,0
0,129,32,0
0,130,34,0
0,131,34,0
0,132,32,0
0,133,30,0
0,134,34,0
0,135,32,0
0,136,35,0
0,137,37,0
0,138,39,0
0,139,38,0
0,140,37,0
0,141,40,0
0,142,40,0
0,143,39,0
0,144,40,0
0,145,42,0
0,146,42,0
0,147,43,0
0,148,45,0
0,149,47,0
0,150,47,0
0,151,50,0
0,152,54,0
0,153,59,0
0,154,50,0
0,155,47,0
0,156,42,0
0,157,38,0
0,158,42,0
0,159,43,0
0,160,44,0
0,161,47,0
0,162,47,0
0,163,52,0
0,164,56,0
0,165,54,0
0,166,57,0
0,167,54,0
0,168,57,0
0,169,54,0
0,170,55,0
0,171,70,0
0,172,66,0
0,173,68,0
0,174,66,0
0,175,79,0
0,176,84,0
0,177,94,0
0,178,105,0
0,179,114,0
0,180,132,188
1,1,3,0
1,2,1536,0
1,3,1399,0
1,4,1302,0
1,5,1184,0
1,6,1095,0
1,7,1006,0
1,8,941,0
1,9,865,0
1,10,799,0
1,11,761,0
1,12,713,0
1,13,673,0
1,14,637,0
1,15,598,0
1,16,572,0
1,17,534,0
1,18,494,0
1,19,461,0
1,20,432,0
1,21,411,0
1,22,391,0
1,23,369,0
1,24,332,0
1,25,294,0
1,26,273,0
1,27,259,0
1,28,251,0
1,29,241,0
1,30,220,0
1,31,199,0
1,32,187,0
1,33,187,0
1,34,186,0
1,35,170,0
1,36,166,0
1,37,152,0
1,38,135,0
1,39,119,0
1,40,115,0
1,41,108,0
1,42,101,0
1,43,95,0
1,44,91,0
1,45,87,0
1,46,78,0
1,47,68,0
1,48,65,0
1,49,61,0
1,50,56,0
1,51,55,0
1,52,54,0
1,53,61,0
1,54,51,0
1,55,52,0
1,56,43,0
1,57,32,0
1,58,29,0
1,59,29,0
1,60,26,0
1,61,21,0
1,62,17,0
1,63,17,0
1,64,13,0
1,65,12,0
1,66,11,0
1,67,6,0
1,68,4,0
1,69,5,0
1,70,4,0
1,71,1,0
1,72,1,0
1,73,0,0
2,1,3,0
2,2,1536,0
2,3,1391,0
2,4,1282,0
2,5,1181,0
2,6,1090,0
2,7,974,0
2,8,903,0
2,9,824,0
2,10,745,0
2,11,707,0
2,12,648,0
2,13,600,0
2,14,547,0
2,15,519,0
2,16,483,0
2,17,444,0
2,18,414,0
2,19,399,0
2,20,374,0
2,21,353,0
2,22,328,0
2,23,312,0
2,24,293,0
2,25,273,0
2,26,256,0
2,27,241,0
2,28,231,0
2,29,220,0
2,30,215,0
2,31,194,0
2,32,189,0
2,33,168,0
2,34,159,0
2,35,157,0
2,36,140,0
2,37,136,0
2,38,125,0
2,39,119,0
2,40,112,0
2,41,112,0
2,42,94,0
2,43,84,0
2,44,82,0
2,45,84,0
2,46,82,0
2,47,84,0
2,48,72,0
2,49,63,0
2,50,60,0
2,51,56,0
2,52,52,0
2,53,49,0
2,54,49,0
2,55,50,0
2,56,48,0
2,57,47,0
2,58,43,0
2,59,42,0
2,60,49,0
2,61,49,0
2,62,45,0
2,63,47,0
2,64,42,0
2,65,35,0
2,66,29,0
2,67,34,0
2,68,31,0
2,69,31,0
2,70,32,0
2,71,34,0
2,72,32,0
2,73,25,0
2,74,22,0
2,75,19,0
2,76,17,0
2,77,20,0
2,78,19,0
2,79,19,0
2,80,16,0
2,81,14,0
2,82,11,0
2,83,7,0
2,84,6,0
2,85,5,0
2,86,5,0
2,87,3,0
2,88,2,0
2,89,2,0
